,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0-23,0,0,0,0,0,0,0,0,0,0
24-29,0,0,0,0,0,0,0,0,0,0
30-35,0,0,0,0,0,0,0,0,0,0
36-47,1,1,0,0,0,0,0,0,0,0
48-59,8,9,3.011111,1,0,0,0,0,0,0
60-71,23,23,13.055556,9,4,0,0,0,0,0
72-83,123,26,15,5,9,2,2,0,0,0
84-95,243,65,18.033333,11,4,1,1,0,0,0
96-107,128,79,22.144444,3,5,2,0,1,0,0
108-119,62,55,35.233333,6,0,0,1,0,0,0
120-131,38,21,37.277778,17,3,0,0,0,0,0
132-143,7,11,15.122222,10,2,2,1,0,0,0
144-155,15,7,6.055556,10,7,2,0,0,0,0
156-167,6,0,2.022222,1,1,3,2,0,0,0
168-179,7,3,1.011111,0,0,2,1,0,0,0
180-191,7,4,3.022222,0,1,1,0,1,0,0
192-203,0,0,0,1,1,0,0,0,0,0
-204,1,0,2.011111,0,0,0,0,0,0,0
